axis,tercile,ts_auc,n_series
variância,baixa,0.5836189878706927,217
variância,média,0.6985543976407705,217
variância,alta,0.7543347309777841,218
dependência,baixa,0.5327090924843717,578
dependência,média,0.5701309030289058,578
dependência,alta,0.6196782138580441,578
cauda(exc),baixa,0.5979462284504472,152
cauda(exc),média,0.7574873242887749,151
cauda(exc),alta,0.9285183259524274,152
curtose,baixa,0.6778522023473601,183
curtose,média,0.6905252820444415,182
curtose,alta,0.7265466177885733,183
média,baixa,0.5455221519265487,388
média,média,0.5753641180820102,387
média,alta,0.5745386874067999,388
